rank,number,champion_score,calibrated_score,champion_index_vs_uniform,calibrated_index_vs_uniform
1,22,0.145257612224,0.035303167991,5.37453165,1.30621722
2,18,0.064948762607,0.029681548518,2.40310422,1.09821730
3,20,0.064752198985,0.029667789064,2.39583136,1.09770820
4,24,0.036371391250,0.027681132523,1.34574148,1.02420190
5,35,0.036034945418,0.027657581314,1.33329298,1.02333051
6,6,0.033215921551,0.027460249644,1.22898910,1.01602924
7,10,0.031495750879,0.027339837697,1.16534278,1.01157399
8,28,0.031251994160,0.027322774726,1.15632378,1.01094266
9,9,0.029513239980,0.027201061934,1.09198988,1.00643929
10,8,0.027559351028,0.027064289707,1.01969599,1.00137872
11,36,0.026784666863,0.027010061816,0.99103267,0.99937229
12,15,0.026114864422,0.026963175645,0.96624998,0.99763750
13,23,0.026112918799,0.026963039451,0.96617800,0.99763246
14,25,0.025667795359,0.026931880810,0.94970843,0.99647959
15,17,0.025378880440,0.026911656766,0.93901858,0.99573130
16,12,0.023066965039,0.026749822688,0.85347771,0.98974344
17,16,0.022895940547,0.026737850973,0.84714980,0.98930049
18,1,0.020577796763,0.026575580909,0.76137848,0.98329649
19,31,0.019516629289,0.026501299185,0.72211528,0.98054807
20,14,0.019436336218,0.026495678670,0.71914444,0.98034011
21,32,0.019149705467,0.026475614518,0.70853910,0.97959774
22,7,0.018082733962,0.026400926512,0.66906116,0.97683428
23,19,0.017444376648,0.026356241501,0.64544194,0.97518094
24,21,0.017061615717,0.026329448235,0.63127978,0.97418958
25,33,0.016584051343,0.026296018729,0.61360990,0.97295269
26,4,0.016136331966,0.026264678373,0.59704428,0.97179310
27,26,0.015964621843,0.026252658664,0.59069101,0.97134837
28,29,0.015875820370,0.026246442561,0.58740535,0.97111837
29,37,0.015376585100,0.026211496092,0.56893365,0.96982536
30,27,0.015049732058,0.026188616379,0.55684009,0.96897881
31,34,0.014840809502,0.026173991800,0.54910995,0.96843770
32,3,0.014476178196,0.026148467609,0.53561859,0.96749330
33,5,0.014303245301,0.026136362306,0.52922008,0.96704541
34,13,0.013682735979,0.026092926654,0.50626123,0.96543829
35,11,0.013660354015,0.026091359916,0.50543310,0.96538032
36,30,0.013440557231,0.026075974141,0.49730062,0.96481104
37,2,0.012916583480,0.026039295979,0.47791359,0.96345395
