round,draw_date,calibration_version,temperature,uniform_mix,rank_preserved,calibrated_top7_hits,champion_top7_hits,calibrated_actual_mass,champion_actual_mass,calibrated_mean_log_prob_actual,champion_mean_log_prob_actual,calibrated_brier,champion_brier
第573回,2024-05-03,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.189530690522,0.200572566955,-3.609240123874,-3.673170245418,0.115738569241,0.119272411861
第574回,2024-05-10,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.188299318541,0.159526834251,-3.615657913888,-3.822661502121,0.116091676477,0.132429396717
第575回,2024-05-17,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190127495700,0.220466072893,-3.606148491465,-3.575417778859,0.115568402414,0.113976261902
第576回,2024-05-24,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190606630098,0.236437219472,-3.603820070929,-3.602094878367,0.115432879416,0.110938126020
第577回,2024-05-31,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189733419613,0.207330203323,-3.608139009449,-3.601524360902,0.115686200000,0.123512054170
第578回,2024-06-07,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189375502478,0.195399632138,-3.610088935031,-3.697181902209,0.115786565063,0.124813038079
第579回,2024-06-14,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190346852375,0.227777962047,-3.605140695651,-3.623934343334,0.115509031226,0.115556203174
第580回,2024-06-21,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188425277132,0.163725453957,-3.615015228316,-3.816942305547,0.116060456259,0.136527514964
第581回,2024-06-28,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189238510674,0.190833238686,-3.610902293087,-3.776492525550,0.115826226449,0.126696466615
第582回,2024-07-05,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188152277999,0.154625482841,-3.616441759842,-3.864530550852,0.116137626560,0.138205893757
第583回,2024-07-12,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188121135695,0.153587406056,-3.616624280023,-3.882011906550,0.116144786580,0.136571619538
第584回,2024-07-19,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189293894354,0.192679361351,-3.610466032606,-3.683138944300,0.115808394734,0.123938107959
第585回,2024-07-26,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188765884397,0.175079029443,-3.613224798051,-3.771884715599,0.115958375487,0.127989846625
第586回,2024-08-02,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188399634566,0.162870701761,-3.615126005827,-3.800775097720,0.116062090302,0.130446835943
第587回,2024-08-09,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.190680769214,0.238908523360,-3.603260444246,-3.525629048603,0.115409649254,0.107956975482
第588回,2024-08-16,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188440786375,0.164242428701,-3.614987503782,-3.883181983944,0.116052206393,0.132136858742
第589回,2024-08-23,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187482235266,0.132290725081,-3.619991738474,-3.992036669901,0.116325458065,0.140576946443
第590回,2024-08-30,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188950494338,0.181232694147,-3.612289611452,-3.751075765964,0.115904750938,0.125255154260
第591回,2024-09-06,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188816884201,0.176779022911,-3.613023699202,-3.805582539864,0.115943353691,0.127003663800
第592回,2024-09-13,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.190171026974,0.221917115348,-3.605926960127,-3.575190031060,0.115558596342,0.116485494186
第593回,2024-09-20,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.191429317077,0.263860118780,-3.599464778241,-3.403375235757,0.115199404597,0.104857015572
第594回,2024-09-27,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187353811290,0.128009925875,-3.620674681220,-4.020373749610,0.116365981764,0.146056847884
第595回,2024-10-04,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.191359880088,0.261545552499,-3.600199215951,-3.563731785871,0.115220234478,0.106619144357
