expert,weight,mean_hits_all,mean_hits_last100,mean_mass_all,mean_mass_last100
ewma_10,0.5890042280709725,1.3625632377740304,1.43,0.19551696734299895,0.2051491949657641
hot_20,0.140485885318361,1.3743676222596966,1.44,0.19296564893241963,0.20407423735056424
momentum,0.06740467466021968,1.3777403035413154,1.39,0.19206028858633553,0.19796829416582257
ewma_30,0.052100093623640244,1.3558178752107926,1.42,0.19468443021367082,0.19884829731471274
pair_context,0.034924744562700914,1.3659359190556493,1.51,0.19235698624662823,0.1956272121312776
hot_50,0.03184104096264603,1.4013490725126476,1.41,0.19501973673006096,0.19379342360379923
overdue,0.020651784229529877,1.3625632377740304,1.36,0.19087828966795245,0.1959459861653981
ewma_60,0.020276305198974543,1.3591905564924114,1.39,0.1935194597047771,0.19264370071777975
hot_100,0.015105975740252752,1.3642495784148398,1.31,0.1931013703791957,0.18939429644801287
recent_cold,0.014126407865578861,1.315345699831366,1.2,0.18774979253624635,0.18445153488893684
hot_200,0.014078859767123836,1.2900505902192243,1.25,0.1897167524942804,0.18455951228177608
