round_index,model_version,model_score,model_max_hits,model_mean_hits,model_ge3,model_ge4
101,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
102,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
103,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
104,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
105,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
106,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
107,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
108,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
109,feedback-g00331-c01-2d02d2d61a,3.450000,3,1.000000,1,0
110,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
111,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
112,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
113,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
114,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
115,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
116,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
117,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
118,feedback-g00331-c01-2d02d2d61a,5.320000,4,2.200000,1,1
119,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
120,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
121,feedback-g00331-c01-2d02d2d61a,5.260000,4,1.600000,1,1
122,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
123,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
124,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
125,feedback-g00331-c01-2d02d2d61a,5.280000,4,1.800000,1,1
126,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
127,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
