round,draw_date,training_rows,selected_research_model,selection_score,champion_tickets,research_tickets,champion_max_hits,research_max_hits,random_mean_max_hits,champion_mean_hits,research_mean_hits,random_mean_ticket_hits,champion_ge3,research_ge3,random_ge3_rate,champion_ge4,research_ge4,random_ge4_rate,champion_score,research_score,random_mean_score,research_delta_vs_champion,research_delta_vs_random
574,2024-05-10,573,balanced-ac45a2d3fd,2.663775,04 13 17 18 19 30 34 | 02 15 18 20 26 29 34 | 17 18 19 26 31 34 35 | 15 17 18 26 30 32 34 | 09 17 18 19 20 29 34,11 17 18 19 29 34 35 | 13 18 19 20 26 28 30 | 03 12 17 18 20 26 34 | 17 19 23 26 30 32 34 | 01 15 18 22 26 30 34,2,1,2.406250,0.600000,0.800000,1.281250,0,0,0.437500,0,0,0.062500,2.060000,1.080000,2.734375,-0.980000,-1.654375
575,2024-05-17,574,balanced-ac45a2d3fd,2.642196,04 17 18 19 28 34 35 | 10 13 18 26 30 32 34 | 16 18 22 26 29 34 35 | 05 09 13 17 18 22 34 | 04 12 13 17 18 30 34,13 17 18 19 22 34 35 | 03 18 23 26 30 32 34 | 15 18 26 28 29 34 35 | 18 19 20 25 29 32 34 | 04 08 13 18 19 30 34,3,3,2.312500,1.800000,2.000000,1.312500,1,1,0.437500,0,0,0.093750,3.530000,3.550000,2.667187,0.020000,0.882813
576,2024-05-24,575,balanced-ac45a2d3fd,2.664343,04 18 19 28 30 34 35 | 12 13 18 19 20 26 34 | 03 13 17 18 22 30 34 | 07 13 18 20 28 30 34 | 10 18 19 20 29 30 34,17 18 20 28 32 34 35 | 13 14 18 19 26 30 35 | 05 12 13 18 20 30 34 | 03 04 11 18 22 26 34 | 18 25 28 29 30 33 34,3,4,2.531250,2.200000,2.000000,1.400000,1,1,0.531250,0,1,0.062500,3.570000,5.300000,2.904063,1.730000,2.395937
577,2024-05-31,576,balanced-ac45a2d3fd,2.707735,04 13 18 19 20 30 34 | 15 17 18 22 26 34 35 | 11 17 18 19 22 28 30 | 03 18 19 23 26 28 34 | 03 11 13 18 28 30 34,13 18 19 23 28 30 34 | 03 17 18 19 25 34 35 | 12 13 18 19 20 26 34 | 15 18 19 29 30 34 35 | 03 12 14 18 19 30 34,2,2,2.312500,1.400000,1.800000,1.325000,0,0,0.312500,0,0,0.031250,2.140000,2.180000,2.577813,0.040000,-0.397813
578,2024-06-07,577,balanced-ac45a2d3fd,2.708657,12 13 18 19 30 34 35 | 17 18 19 22 26 28 29 | 11 13 18 19 20 28 30 | 13 18 22 25 28 29 34 | 09 13 18 19 29 32 34,13 18 19 29 34 35 37 | 15 18 19 20 22 28 30 | 06 11 13 18 19 26 30 | 11 15 17 18 19 25 34 | 04 13 18 19 22 29 30,2,4,2.531250,1.400000,2.000000,1.443750,0,1,0.468750,0,1,0.093750,2.140000,5.300000,2.910000,3.160000,2.390000
579,2024-06-14,578,balanced-ac45a2d3fd,2.751951,11 13 18 19 20 30 34 | 13 17 18 19 22 26 37 | 12 13 18 19 28 29 33 | 13 17 18 19 30 34 35 | 02 08 18 19 22 28 34,13 18 19 20 22 26 35 | 11 16 18 19 30 34 37 | 11 13 17 18 19 28 36 | 13 17 18 19 22 30 31 | 13 14 18 19 20 30 36,3,2,2.437500,2.000000,1.800000,1.312500,1,0,0.437500,0,0,0.031250,3.550000,2.180000,2.745313,-1.370000,-0.565313
580,2024-06-21,579,balanced-ac45a2d3fd,2.742402,11 13 18 19 20 28 34 | 12 18 19 22 26 30 35 | 03 17 18 19 34 35 36 | 15 18 19 29 30 34 37 | 09 13 18 19 22 30 34,13 18 19 20 34 35 37 | 11 18 19 23 29 30 34 | 19 22 26 28 30 34 35 | 08 13 15 18 19 30 36 | 03 17 18 19 26 35 36,1,2,2.500000,0.800000,0.800000,1.318750,0,0,0.500000,0,0,0.062500,1.080000,2.080000,2.853750,1.000000,-0.773750
581,2024-06-28,580,balanced-ac45a2d3fd,2.739588,11 13 15 17 18 19 35 | 04 13 18 19 29 34 37 | 13 14 18 19 22 30 36 | 13 17 19 20 23 30 34 | 13 18 19 22 32 34 35,09 13 17 18 19 22 34 | 04 18 19 28 30 35 37 | 12 13 18 19 20 30 36 | 04 13 18 19 27 34 35 | 14 18 19 29 33 34 36,2,2,2.562500,1.400000,1.200000,1.406250,0,0,0.375000,0,0,0.187500,2.140000,2.120000,2.975000,-0.020000,-0.855000
582,2024-07-05,581,balanced-ac45a2d3fd,2.725559,11 13 17 18 19 34 35 | 03 15 18 19 29 30 34 | 13 18 19 23 26 30 36 | 13 15 18 19 28 35 36 | 13 17 18 19 22 29 30,13 18 19 23 30 32 34 | 15 18 19 20 35 36 37 | 04 12 17 18 19 22 26 | 13 14 18 19 26 34 35 | 13 17 18 19 20 25 31,3,2,2.531250,1.600000,0.800000,1.375000,1,0,0.468750,0,0,0.093750,3.510000,2.080000,2.903125,-1.430000,-0.823125
583,2024-07-12,582,balanced-ac45a2d3fd,2.713020,13 16 18 19 29 30 34 | 15 18 19 20 22 25 28 | 13 18 19 26 34 35 36 | 13 15 18 19 28 30 36 | 13 17 18 19 20 26 30,09 13 18 19 25 30 36 | 03 15 18 19 29 34 37 | 13 16 18 19 26 34 35 | 12 14 18 19 22 34 36 | 05 18 19 23 30 32 34,2,2,2.500000,1.000000,1.000000,1.412500,0,0,0.437500,0,0,0.156250,2.100000,2.100000,2.911563,0.000000,-0.811562
