round_index,model_version,model_score,random_score,score_delta_vs_random,model_max_hits,model_mean_hits,model_ge3,model_ge4,random_max_hits,random_mean_hits,random_ge3,random_ge4
101,evo-g00613-c01-ac96dbf10a,3.510000,3.260000,0.250000,3,1.600000,1,0,2.750000,1.475000,0.500000,0.250000
102,evo-g00613-c01-ac96dbf10a,3.530000,2.988750,0.541250,3,1.800000,1,0,2.625000,1.450000,0.625000,0.000000
103,evo-g00613-c01-ac96dbf10a,3.470000,2.857500,0.612500,3,1.200000,1,0,2.500000,1.325000,0.375000,0.125000
104,evo-g00613-c01-ac96dbf10a,2.100000,3.036250,-0.936250,2,1.000000,0,0,2.625000,1.425000,0.500000,0.125000
105,evo-g00613-c01-ac96dbf10a,3.510000,2.452500,1.057500,3,1.600000,1,0,2.250000,1.150000,0.250000,0.000000
106,evo-g00613-c01-ac96dbf10a,2.100000,3.260000,-1.160000,2,1.000000,0,0,2.750000,1.475000,0.500000,0.250000
107,evo-g00613-c01-ac96dbf10a,2.080000,3.172500,-1.092500,2,0.800000,0,0,2.750000,1.600000,0.750000,0.000000
108,evo-g00613-c01-ac96dbf10a,2.160000,2.828750,-0.668750,2,1.600000,0,0,2.500000,1.100000,0.625000,0.000000
109,evo-g00613-c01-ac96dbf10a,1.060000,2.643750,-1.583750,1,0.600000,0,0,2.375000,1.375000,0.375000,0.000000
110,evo-g00613-c01-ac96dbf10a,2.140000,2.455000,-0.315000,2,1.400000,0,0,2.250000,1.175000,0.250000,0.000000
111,evo-g00613-c01-ac96dbf10a,3.550000,2.460000,1.090000,3,2.000000,1,0,2.250000,1.225000,0.250000,0.000000
112,evo-g00613-c01-ac96dbf10a,2.100000,1.860000,0.240000,2,1.000000,0,0,1.750000,1.100000,0.000000,0.000000
113,evo-g00613-c01-ac96dbf10a,3.450000,2.700000,0.750000,3,1.000000,1,0,2.375000,1.500000,0.500000,0.000000
114,evo-g00613-c01-ac96dbf10a,2.180000,2.812500,-0.632500,2,1.800000,0,0,2.500000,1.375000,0.500000,0.000000
115,evo-g00613-c01-ac96dbf10a,2.080000,3.497500,-1.417500,2,0.800000,0,0,2.875000,1.225000,0.625000,0.375000
116,evo-g00613-c01-ac96dbf10a,3.550000,3.260000,0.290000,3,2.000000,1,0,2.750000,1.475000,0.500000,0.250000
117,evo-g00613-c01-ac96dbf10a,2.180000,2.482500,-0.302500,2,1.800000,0,0,2.250000,1.450000,0.250000,0.000000
118,evo-g00613-c01-ac96dbf10a,5.340000,2.342500,2.997500,4,2.400000,1,1,2.125000,1.300000,0.250000,0.000000
119,evo-g00613-c01-ac96dbf10a,3.510000,3.031250,0.478750,3,1.600000,1,0,2.625000,1.375000,0.500000,0.125000
120,evo-g00613-c01-ac96dbf10a,2.080000,2.820000,-0.740000,2,0.800000,0,0,2.500000,1.450000,0.500000,0.000000
121,evo-g00613-c01-ac96dbf10a,5.260000,2.293750,2.966250,4,1.600000,1,1,2.125000,1.250000,0.125000,0.000000
122,evo-g00613-c01-ac96dbf10a,2.120000,2.493750,-0.373750,2,1.200000,0,0,2.250000,1.125000,0.375000,0.000000
123,evo-g00613-c01-ac96dbf10a,2.080000,2.398750,-0.318750,2,0.800000,0,0,2.125000,1.425000,0.375000,0.000000
124,evo-g00613-c01-ac96dbf10a,2.100000,3.012500,-0.912500,2,1.000000,0,0,2.625000,1.250000,0.750000,0.000000
125,evo-g00613-c01-ac96dbf10a,3.550000,3.200000,0.350000,3,2.000000,1,0,2.750000,1.375000,0.625000,0.125000
126,evo-g00613-c01-ac96dbf10a,3.470000,2.301250,1.168750,3,1.200000,1,0,2.125000,1.325000,0.125000,0.000000
127,evo-g00613-c01-ac96dbf10a,5.300000,2.978750,2.321250,4,2.000000,1,1,2.625000,1.350000,0.625000,0.000000
128,evo-g00613-c01-ac96dbf10a,3.510000,3.075000,0.435000,3,1.600000,1,0,2.625000,1.375000,0.625000,0.125000
129,evo-g00613-c01-ac96dbf10a,2.140000,3.013750,-0.873750,2,1.400000,0,0,2.625000,1.200000,0.500000,0.125000
130,evo-g00613-c01-ac96dbf10a,2.060000,2.641250,-0.581250,2,0.600000,0,0,2.375000,1.350000,0.375000,0.000000
131,evo-g00613-c01-ac96dbf10a,2.080000,2.701250,-0.621250,2,0.800000,0,0,2.375000,1.450000,0.250000,0.125000
132,evo-g00613-c01-ac96dbf10a,2.060000,3.778750,-1.718750,2,0.600000,0,0,3.125000,1.600000,0.875000,0.250000
133,evo-g00613-c01-ac96dbf10a,2.100000,3.475000,-1.375000,2,1.000000,0,0,2.875000,1.500000,0.750000,0.250000
134,evo-g00613-c01-ac96dbf10a,5.340000,2.646250,2.693750,4,2.400000,1,1,2.375000,1.400000,0.375000,0.000000
135,evo-g00613-c01-ac96dbf10a,3.490000,2.740000,0.750000,3,1.400000,1,0,2.375000,1.400000,0.375000,0.125000
136,evo-g00613-c01-ac96dbf10a,3.530000,3.303750,0.226250,3,1.800000,1,0,2.750000,1.475000,0.625000,0.250000
137,evo-g00613-c01-ac96dbf10a,2.100000,2.460000,-0.360000,2,1.000000,0,0,2.250000,1.225000,0.250000,0.000000
138,evo-g00613-c01-ac96dbf10a,3.470000,3.150000,0.320000,3,1.200000,1,0,2.625000,1.625000,0.500000,0.250000
139,evo-g00613-c01-ac96dbf10a,3.490000,2.651250,0.838750,3,1.400000,1,0,2.375000,1.450000,0.375000,0.000000
140,evo-g00613-c01-ac96dbf10a,3.510000,3.028750,0.481250,3,1.600000,1,0,2.625000,1.350000,0.500000,0.125000
141,evo-g00613-c01-ac96dbf10a,2.120000,1.987500,0.132500,2,1.200000,0,0,1.875000,1.125000,0.000000,0.000000
142,evo-g00613-c01-ac96dbf10a,3.510000,2.457500,1.052500,3,1.600000,1,0,2.125000,1.075000,0.375000,0.125000
143,evo-g00613-c01-ac96dbf10a,3.570000,3.041250,0.528750,3,2.200000,1,0,2.625000,1.475000,0.500000,0.125000
144,evo-g00613-c01-ac96dbf10a,2.080000,2.807500,-0.727500,2,0.800000,0,0,2.500000,1.325000,0.500000,0.000000
145,evo-g00613-c01-ac96dbf10a,5.340000,3.650000,1.690000,4,2.400000,1,1,3.000000,1.500000,0.625000,0.375000
146,evo-g00613-c01-ac96dbf10a,3.550000,3.500000,0.050000,3,2.000000,1,0,3.000000,1.500000,1.000000,0.000000
147,evo-g00613-c01-ac96dbf10a,3.430000,2.815000,0.615000,3,0.800000,1,0,2.500000,1.400000,0.500000,0.000000
148,evo-g00613-c01-ac96dbf10a,2.160000,2.636250,-0.476250,2,1.600000,0,0,2.375000,1.300000,0.375000,0.000000
149,evo-g00613-c01-ac96dbf10a,1.080000,2.556250,-1.476250,1,0.800000,0,0,2.250000,1.250000,0.250000,0.125000
150,evo-g00613-c01-ac96dbf10a,2.080000,2.501250,-0.421250,2,0.800000,0,0,2.250000,1.200000,0.375000,0.000000
151,evo-g00613-c01-ac96dbf10a,3.510000,2.345000,1.165000,3,1.600000,1,0,2.125000,1.325000,0.250000,0.000000
152,evo-g00613-c01-ac96dbf10a,3.470000,2.643750,0.826250,3,1.200000,1,0,2.375000,1.375000,0.375000,0.000000
153,evo-g00613-c01-ac96dbf10a,2.180000,2.862500,-0.682500,2,1.800000,0,0,2.500000,1.375000,0.375000,0.125000
154,evo-g00613-c01-ac96dbf10a,3.530000,2.491250,1.038750,3,1.800000,1,0,2.250000,1.100000,0.375000,0.000000
155,evo-g00613-c01-ac96dbf10a,5.260000,3.160000,2.100000,4,1.600000,1,1,2.750000,1.475000,0.750000,0.000000
156,evo-g00613-c01-ac96dbf10a,2.080000,2.185000,-0.105000,2,0.800000,0,0,2.000000,0.975000,0.250000,0.000000
