expert,trusted_draws,mean_effective_weight,mean_exact_weighted_mass_contribution_vs_uniform,mean_standalone_top7_hits,mean_standalone_mass_edge_vs_uniform,mean_standalone_log_edge_vs_uniform,mean_standalone_brier_improvement_vs_uniform,mean_loo_top7_hit_penalty,mean_loo_mass_penalty,mean_loo_log_penalty,mean_loo_brier_penalty,mean_loo_top7_members_changed,mean_loo_top7_jaccard
ewma_10,4,0.570404415091289,0.02688116089061393,1.75,0.0611959287414275,-0.2521652361124104,-0.0379187694673664,0.25,0.012657826225424523,-0.02438842781397632,-0.0055657392236125106,1.25,0.7013888888888888
hot_20,4,0.14474069118963728,0.004342485262641009,1.25,0.03434463270808937,-0.2750894944177331,-0.03652681928237603,0.0,-0.0019698707781119484,-0.00715974432004951,-0.0008056879697384348,0.75,0.8125
ewma_30,4,0.05160992041133132,0.0025108599597566572,1.25,0.07229790325535479,-0.36019748570869636,-0.06737405964517718,0.0,0.0007786564812060359,-0.00498150910451256,-0.0009711154895674715,0.25,0.9375
hot_50,4,0.03223867816763951,0.0021338192040539564,2.25,0.1032129228822464,-0.27981608478734976,-0.06227123490871023,0.0,0.001097604174167103,0.000223146850705902,-0.0004101450978223897,0.0,1.0
momentum,4,0.07349551529031643,0.00193654518031264,1.5,0.02949573556697767,-0.14225937863686466,-0.012989964945965413,0.0,-0.0014492405071772768,0.005676640146290546,0.0012338964438674167,0.25,0.9375
pair_context,4,0.03912832959068943,0.0010989859018745336,2.0,0.03471643455179379,-0.04324447632168238,-0.003888640432309739,0.0,-0.0007063369743361726,0.010356802562215606,0.0019036284781904882,0.25,0.9375
ewma_60,4,0.02020090207028212,0.0004938582353800035,1.0,0.030923733291250304,-0.4321301201303943,-0.05158234512595115,0.0,-0.0002893400230886099,-0.002059301986033213,-0.00021131019277543725,0.0,1.0
overdue,4,0.02456462008123867,7.55745962203801e-05,1.5,0.008500953787032514,-0.2571247061285,-0.022228843019063728,0.0,-0.0010649572931220493,0.011700269950544073,0.0012651639659317267,0.0,1.0
hot_200,4,0.01410095892591974,-0.00021049160040683928,1.0,-0.018808520964919487,-0.5161939007200738,-0.029441298570645473,0.0,-0.0007711040614533926,0.00039356228866205267,0.0002158344766718459,0.0,1.0
recent_cold,4,0.014303676335014275,-0.00021281595807138255,1.0,-0.018185696295963047,-0.36264053188718215,-0.01309407827398162,0.0,-0.000789527326153415,0.005656406380918466,0.000717093450132985,0.0,1.0
hot_100,4,0.015212292846642276,-0.0003732211246705552,1.0,-0.030739303468225045,-0.4610429205511324,-0.03608633439915303,0.0,-0.0009962349139449773,-0.0008555593067081091,0.00031290196791328856,0.0,1.0
