rank,number,relative_score,index_vs_uniform
1,2,0.032628968464,1.20727183
2,13,0.031720605090,1.17366239
3,11,0.031017426843,1.14764479
4,26,0.029964323414,1.10867997
5,5,0.029177674598,1.07957396
6,6,0.029102796538,1.07680347
7,21,0.028726600779,1.06288423
8,31,0.028679302914,1.06113421
9,19,0.028526913923,1.05549582
10,30,0.028522546490,1.05533422
11,3,0.028391528474,1.05048655
12,15,0.027540960181,1.01901553
13,28,0.027436231678,1.01514057
14,7,0.027321645805,1.01090089
15,34,0.027006398217,0.99923673
16,25,0.026977588863,0.99817079
17,32,0.026935450605,0.99661167
18,27,0.026890685152,0.99495535
19,37,0.026735824382,0.98922550
20,36,0.026628030294,0.98523712
21,4,0.026437700437,0.97819492
22,29,0.026427507478,0.97781778
23,16,0.026360419342,0.97533552
24,23,0.025955068507,0.96033753
25,24,0.025940926254,0.95981427
26,33,0.025868964196,0.95715168
27,9,0.025803712032,0.95473735
28,1,0.025675203438,0.94998253
29,20,0.025669101542,0.94975676
30,17,0.025584090081,0.94661133
31,14,0.025576348140,0.94632488
32,8,0.025097390090,0.92860343
33,18,0.025064779131,0.92739683
34,10,0.024814139032,0.91812314
35,12,0.024531798637,0.90767655
36,35,0.023832564507,0.88180489
37,22,0.021428784454,0.79286502
