round,draw_date,selected_meta_version,meta_top7_hits,hedge_top7_hits,meta_actual_mass,hedge_actual_mass,meta_mean_log_prob_actual,hedge_mean_log_prob_actual,meta_brier,hedge_brier
第573回,2024-05-03,meta-conservative-bacedfc8a9,2.000000,3.000000,0.190281172441,0.200572566955,-3.606591112740,-3.673170245418,0.115601261566,0.119272411861
第574回,2024-05-10,meta-conservative-bacedfc8a9,1.000000,0.000000,0.185629014157,0.159526834251,-3.630528154622,-3.822661502121,0.116900897186,0.132429396717
第575回,2024-05-17,meta-conservative-bacedfc8a9,1.000000,2.000000,0.188585630939,0.220466072893,-3.614328256531,-3.575417778859,0.116031322229,0.113976261902
第576回,2024-05-24,meta-conservative-bacedfc8a9,2.000000,2.000000,0.189646279708,0.236437219472,-3.610375106482,-3.602094878367,0.115762168895,0.110938126020
第577回,2024-05-31,meta-conservative-bacedfc8a9,1.000000,2.000000,0.188853955530,0.207330203323,-3.613417690474,-3.601524360902,0.116041009541,0.123512054170
第578回,2024-06-07,meta-conservative-bacedfc8a9,1.000000,1.000000,0.190101599559,0.195399632138,-3.610174374592,-3.697181902209,0.115832823225,0.124813038079
第579回,2024-06-14,meta-conservative-bacedfc8a9,2.000000,2.000000,0.196099098023,0.227777962047,-3.585071397246,-3.623934343334,0.114219445907,0.115556203174
第580回,2024-06-21,meta-conservative-bacedfc8a9,1.000000,1.000000,0.184954604497,0.163725453957,-3.636051402601,-3.816942305547,0.117375160325,0.136527514964
第581回,2024-06-28,meta-conservative-bacedfc8a9,2.000000,1.000000,0.188402968648,0.190833238686,-3.618605341182,-3.776492525550,0.116219556891,0.126696466615
第582回,2024-07-05,meta-conservative-bacedfc8a9,0.000000,1.000000,0.183946354609,0.154625482841,-3.639551199574,-3.864530550852,0.117396554381,0.138205893757
第583回,2024-07-12,meta-conservative-bacedfc8a9,2.000000,1.000000,0.186098558734,0.153587406056,-3.628978792184,-3.882011906550,0.116755040696,0.136571619538
第584回,2024-07-19,meta-conservative-bacedfc8a9,0.000000,1.000000,0.187654938534,0.192679361351,-3.619638774490,-3.683138944300,0.116314061957,0.123938107959
第585回,2024-07-26,meta-conservative-bacedfc8a9,3.000000,2.000000,0.191432041439,0.175079029443,-3.599739591869,-3.771884715599,0.115210524963,0.127989846625
第586回,2024-08-02,meta-conservative-bacedfc8a9,1.000000,1.000000,0.188291480403,0.162870701761,-3.616203909042,-3.800775097720,0.116164945213,0.130446835943
第587回,2024-08-09,meta-conservative-bacedfc8a9,1.000000,3.000000,0.187176347850,0.238908523360,-3.622780880935,-3.525629048603,0.116472744763,0.107956975482
