round_index,selected_model,selected_overlap,prior_signal_objective,signal_top7_hits,signal_actual_mass,signal_log_edge,signal_brier_edge,portfolio_max_hits,portfolio_mean_hits,portfolio_ge3,portfolio_ge4,portfolio_score,random_max_hits,random_mean_hits,random_ge3,random_ge4,random_score,score_delta_vs_random
632,signal-g00622-c01-5b0ae9f103,0.65,-0.05729775306324015,0.0,0.1705546583482439,-0.10885707697531943,-0.007236674754906344,1.0,0.4,0.0,0.0,1.04,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.7372143554687498
633,signal-g00622-c01-5b0ae9f103,0.65,-0.062141014307720066,0.0,0.17692978323861158,-0.07055681511895662,-0.0050911801337570756,2.0,0.6,0.0,0.0,2.06,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.7172143554687498
634,signal-g00622-c01-5b0ae9f103,0.65,-0.06564176450193927,3.0,0.20536141252920664,0.07269484312771368,0.003190275278839902,3.0,2.0,1.0,0.0,3.5500000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7727856445312504
635,signal-g00622-c01-5b0ae9f103,0.65,-0.06067518932679269,3.0,0.22637956283859884,0.1394802188281341,0.009243242917396435,3.0,2.4,1.0,0.0,3.59,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.81278564453125
636,signal-g00622-c01-5b0ae9f103,0.65,-0.05414098027294934,2.0,0.19667338409469068,0.007861030972746708,0.0004518496586529974,3.0,1.2,1.0,0.0,3.47,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6927856445312504
637,signal-g00622-c01-5b0ae9f103,0.65,-0.05265089897017856,0.0,0.17700488362941158,-0.06990857862035904,-0.004949467709995395,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
638,signal-g00622-c01-5b0ae9f103,0.65,-0.05529139905017128,0.0,0.17830488506178147,-0.06759961002125481,-0.0043833521860780905,3.0,0.8,1.0,0.0,3.43,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6527856445312503
639,signal-g00622-c01-5b0ae9f103,0.65,-0.05822277047887118,3.0,0.20960502578259615,0.07638847661378767,0.004728230331494596,3.0,2.2,1.0,0.0,3.5700000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7927856445312504
640,signal-g00622-c01-5b0ae9f103,0.65,-0.05416185038076022,3.0,0.2173670079766464,0.11940677189827387,0.006767979250157624,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
641,signal-g00622-c01-5b0ae9f103,0.65,-0.0459375862422891,2.0,0.17779731411634528,-0.07238436539278403,-0.00471808019253013,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
642,signal-g00622-c01-5b0ae9f103,0.65,-0.04640292643958481,3.0,0.2097166834209511,0.06999461512165084,0.004600170818225252,4.0,1.6,1.0,1.0,5.26,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.48278564453125
643,signal-g00622-c01-5b0ae9f103,0.65,-0.042330669813799,2.0,0.21421939509891616,0.08507738434685486,0.005671885335002291,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
